p,n,total_time,comp_time,comm_time,overhead,cost
8,6,0.0417,0.0012,0.0393,0.0013,1241
8,6,0.0471,0.0018,0.0444,0.0009,1223
8,6,0.0463,0.0018,0.0438,0.0007,1187
8,6,0.0411,0.0014,0.0381,0.0016,1022
8,6,0.0358,0.0009,0.0345,0.0005,983
8,6,0.0465,0.0015,0.0430,0.0020,895
8,6,0.0422,0.0014,0.0397,0.0012,968
8,6,0.0406,0.0013,0.0383,0.0011,1122
8,6,0.0414,0.0012,0.0385,0.0017,1045
8,6,0.0418,0.0012,0.0395,0.0011,863
8,6,0.0467,0.0016,0.0441,0.0010,806
8,6,0.0416,0.0014,0.0391,0.0011,946
8,6,0.0409,0.0013,0.0379,0.0016,1202
8,6,0.0406,0.0011,0.0377,0.0018,887
8,6,0.0369,0.0009,0.0354,0.0005,778
8,6,0.0473,0.0016,0.0438,0.0020,1199
8,6,0.0469,0.0018,0.0441,0.0011,1368
8,6,0.0478,0.0016,0.0452,0.0010,991
8,6,0.0476,0.0015,0.0450,0.0011,1211
8,6,0.0421,0.0012,0.0392,0.0017,810
8,6,0.0422,0.0014,0.0393,0.0014,905
8,6,0.0463,0.0014,0.0429,0.0020,897
10,6,0.0712,0.0015,0.0593,0.0104,1159
10,6,0.0758,0.0016,0.0655,0.0087,1296
10,6,0.0695,0.0015,0.0673,0.0008,1394
10,6,0.0637,0.0009,0.0599,0.0029,1182
10,6,0.0593,0.0008,0.0579,0.0007,665
10,6,0.0646,0.0013,0.0625,0.0008,894
10,6,0.0596,0.0008,0.0578,0.0010,805
10,6,0.0649,0.0013,0.0629,0.0007,862
10,6,0.0761,0.0019,0.0730,0.0013,1187
10,6,0.0636,0.0011,0.0587,0.0037,885
10,6,0.0705,0.0017,0.0633,0.0055,1138
10,6,0.0700,0.0019,0.0674,0.0008,1550
10,6,0.0654,0.0012,0.0554,0.0088,1033
10,6,0.0693,0.0014,0.0602,0.0078,1216
10,6,0.0640,0.0014,0.0588,0.0038,795
10,6,0.0636,0.0010,0.0597,0.0029,766
10,6,0.0584,0.0008,0.0570,0.0006,916
10,6,0.0580,0.0010,0.0564,0.0006,911
10,6,0.0773,0.0017,0.0661,0.0095,1158
10,6,0.0648,0.0013,0.0599,0.0037,1215
10,6,0.0745,0.0016,0.0720,0.0009,1112
10,6,0.0817,0.0019,0.0699,0.0099,1519
10,6,0.0590,0.0009,0.0571,0.0010,900
10,6,0.0652,0.0010,0.0556,0.0087,688
10,6,0.0690,0.0013,0.0596,0.0081,1379
10,6,0.0685,0.0010,0.0668,0.0007,783
10,6,0.0690,0.0013,0.0590,0.0086,1103
10,6,0.0632,0.0009,0.0593,0.0030,829
10,6,0.0591,0.0010,0.0574,0.0006,902
10,6,0.0635,0.0010,0.0541,0.0084,951
12,6,0.0865,0.0013,0.0845,0.0007,742
12,6,0.0812,0.0010,0.0757,0.0046,907
12,6,0.0925,0.0013,0.0811,0.0101,727
12,6,0.0872,0.0014,0.0802,0.0056,1285
12,6,0.0868,0.0016,0.0845,0.0008,1383
12,6,0.0874,0.0014,0.0802,0.0058,985
12,6,0.0952,0.0018,0.0879,0.0055,1347
12,6,0.0800,0.0009,0.0724,0.0068,1086
12,6,0.0997,0.0019,0.0860,0.0117,1241
12,6,0.0939,0.0014,0.0917,0.0008,1007
12,6,0.0811,0.0011,0.0793,0.0007,993
12,6,0.0884,0.0013,0.0864,0.0007,951
12,6,0.0815,0.0011,0.0751,0.0053,1037
12,6,0.0882,0.0015,0.0809,0.0059,696
12,6,0.0803,0.0009,0.0688,0.0105,820
12,6,0.0989,0.0018,0.0849,0.0122,1092
12,6,0.0814,0.0010,0.0751,0.0053,586
12,6,0.0889,0.0013,0.0815,0.0061,1177
12,6,0.0881,0.0014,0.0801,0.0067,970
12,6,0.0875,0.0015,0.0802,0.0059,1085
12,6,0.0813,0.0010,0.0749,0.0053,902
12,6,0.0871,0.0013,0.0797,0.0062,851
12,6,0.0880,0.0008,0.0864,0.0007,440
12,6,0.0813,0.0010,0.0795,0.0008,713
12,6,0.0831,0.0012,0.0752,0.0068,826
12,6,0.1003,0.0016,0.0978,0.0009,1617
12,6,0.0808,0.0009,0.0791,0.0007,816
12,6,0.0878,0.0013,0.0760,0.0105,918
12,6,0.0868,0.0013,0.0801,0.0054,891
12,6,0.0824,0.0010,0.0756,0.0058,760
14,6,0.1252,0.0016,0.1084,0.0151,736
14,6,0.1161,0.0016,0.1061,0.0085,984
14,6,0.1105,0.0011,0.0955,0.0139,1351
14,6,0.1184,0.0017,0.1065,0.0102,1114
14,6,0.1135,0.0015,0.1032,0.0088,967
14,6,0.1344,0.0021,0.1267,0.0057,1235
14,6,0.1166,0.0017,0.0992,0.0157,1178
14,6,0.1175,0.0013,0.1149,0.0012,802
14,6,0.1128,0.0012,0.1015,0.0102,965
14,6,0.1185,0.0016,0.1116,0.0052,1200
14,6,0.1056,0.0012,0.1036,0.0008,837
14,6,0.1122,0.0013,0.0962,0.0147,1435
14,6,0.1099,0.0010,0.0989,0.0100,1118
14,6,0.1183,0.0011,0.1019,0.0153,900
14,6,0.1054,0.0009,0.1036,0.0009,908
14,6,0.1178,0.0015,0.1155,0.0009,1439
14,6,0.1179,0.0016,0.1061,0.0102,1217
14,6,0.1068,0.0011,0.1048,0.0009,1104
14,6,0.1181,0.0017,0.1155,0.0010,1148
14,6,0.1101,0.0011,0.1082,0.0008,616
14,6,0.1130,0.0011,0.0973,0.0146,804
14,6,0.1266,0.0019,0.1096,0.0151,1190
14,6,0.1055,0.0012,0.1034,0.0008,843
14,6,0.1194,0.0016,0.1168,0.0009,1137
14,6,0.1057,0.0009,0.1039,0.0008,513
14,6,0.1061,0.0010,0.0904,0.0148,942
14,6,0.1228,0.0019,0.1121,0.0089,1380
14,6,0.1164,0.0015,0.1058,0.0091,1041
14,6,0.1104,0.0011,0.1085,0.0009,795
14,6,0.1166,0.0014,0.1058,0.0095,848
16,6,0.1324,0.0013,0.1300,0.0010,877
16,6,0.1453,0.0016,0.1233,0.0205,1435
16,6,0.1322,0.0011,0.1206,0.0104,1093
16,6,0.1378,0.0014,0.1166,0.0198,1073
16,6,0.1323,0.0011,0.1254,0.0059,1134
16,6,0.1338,0.0009,0.1319,0.0009,778
16,6,0.1441,0.0015,0.1370,0.0057,982
16,6,0.1517,0.0020,0.1340,0.0156,1568
16,6,0.1302,0.0012,0.1173,0.0117,764
16,6,0.1352,0.0015,0.1217,0.0121,797
16,6,0.1310,0.0012,0.1079,0.0219,939
